month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,128281.7983,92744.4487,221026.247,64028.6164,49310.734,89181.5493,202520.8997,18308.1899
FEBRUARY,110679.8131,81750.9306,192430.7438,58178.8184,43810.0927,74487.063,176475.9741,15689.2639
MARCH,112544.1382,85809.4867,198353.6249,61533.7527,53857.683,67675.8478,183067.2834,15149.4755
APRIL,109921.2932,79872.9623,189794.2555,57235.1812,52795.5151,65120.9954,175151.6917,14379.4678
MAY,117632.6645,83859.8179,201492.4824,60896.1268,55496.721,70483.0548,186875.9025,14109.4474
JUNE,114939.805,86963.6567,201903.4618,60335.6879,52979.8445,74076.2408,187391.7732,14281.5497
JULY,124233.6199,99489.7549,223723.3748,68327.1591,59590.7181,80140.1233,208058.0005,15301.8528
AUGUST,117395.8878,95192.7513,212588.6391,61189.0329,53957.2703,81328.2538,196474.557,15843.4692
SEPTEMBER,113511.1078,90983.7651,204494.8729,57208.9311,56867.2092,75571.9415,189648.0818,14618.6195
OCTOBER,134524.075,85870.0776,220396.4473,66728.9639,64895.2858,70698.824,202323.0737,18073.3735
NOVEMBER,134000.2393,92800.9671,226747.0458,65192.1694,63097.2351,80391.7449,208681.1495,18065.6818
DECEMBER,123078.0424,92246.4031,215324.4455,53084.968,66986.5047,76186.3008,196257.7735,19066.672
