month,terminal,liquid_type,volume_bbls
JANUARY,BONNY,Crude Oil,6776015.93
FEBRUARY,BONNY,Crude Oil,5176077.0
MARCH,BONNY,Crude Oil,5133029.0
APRIL,BONNY,Crude Oil,4323813.65
MAY,BONNY,Crude Oil,4955284.0
JUNE,BONNY,Crude Oil,4399246.89
JULY,BONNY,Crude Oil,3606254.0
AUGUST,BONNY,Crude Oil,5135367.0
SEPTEMBER,BONNY,Crude Oil,3318975.63
OCTOBER,BONNY,Crude Oil,2373790.0
NOVEMBER,BONNY,Crude Oil,2737971.16
DECEMBER,BONNY,Crude Oil,2301542.41
JANUARY,BONNY,Condensate,1263344.0
FEBRUARY,BONNY,Condensate,1132523.0
MARCH,BONNY,Condensate,1102312.0
APRIL,BONNY,Condensate,1006904.35
MAY,BONNY,Condensate,1092934.0
JUNE,BONNY,Condensate,1398297.0
JULY,BONNY,Condensate,1378602.0
AUGUST,BONNY,Condensate,831345.0
SEPTEMBER,BONNY,Condensate,881235.56
OCTOBER,BONNY,Condensate,1275970.0
NOVEMBER,BONNY,Condensate,710806.0
DECEMBER,BONNY,Condensate,767013.0
JANUARY,BRASS,Crude Oil,1314356.0
FEBRUARY,BRASS,Crude Oil,1338219.0
MARCH,BRASS,Crude Oil,1097169.0
APRIL,BRASS,Crude Oil,1176170.0
MAY,BRASS,Crude Oil,983425.2
JUNE,BRASS,Crude Oil,763261.31
JULY,BRASS,Crude Oil,833311.51
AUGUST,BRASS,Crude Oil,1206171.51
SEPTEMBER,BRASS,Crude Oil,1303911.67
OCTOBER,BRASS,Crude Oil,1031990.0
NOVEMBER,BRASS,Crude Oil,841068.99
DECEMBER,BRASS,Crude Oil,1129263.0
JANUARY,BRASS,Condensate,741302.0
FEBRUARY,BRASS,Condensate,629058.0
MARCH,BRASS,Condensate,694336.0
APRIL,BRASS,Condensate,564241.0
MAY,BRASS,Condensate,469656.8
JUNE,BRASS,Condensate,430486.69
JULY,BRASS,Condensate,372460.49
AUGUST,BRASS,Condensate,338805.49
SEPTEMBER,BRASS,Condensate,372710.33
OCTOBER,BRASS,Condensate,418545.0
NOVEMBER,BRASS,Condensate,475058.01
DECEMBER,BRASS,Condensate,413286.0
JANUARY,QUA IBOE,Crude Oil,3657873.0
FEBRUARY,QUA IBOE,Crude Oil,4684125.0
MARCH,QUA IBOE,Crude Oil,5009825.0
APRIL,QUA IBOE,Crude Oil,5014925.0
MAY,QUA IBOE,Crude Oil,5316929.0
JUNE,QUA IBOE,Crude Oil,4221253.17
JULY,QUA IBOE,Crude Oil,4552450.0
AUGUST,QUA IBOE,Crude Oil,4121739.0
SEPTEMBER,QUA IBOE,Crude Oil,4406253.0
