month,land_rigs,inland_water_rigs,offshore_rigs,total_rigs
2012-06,4,4,11,19
2012-07,5,4,8,17
2012-08,6,1,10,17
2012-09,8,2,9,19
2012-10,4,2,8,14
2012-11,2,1,11,14
2012-12,3,2,8,13
2013-01,6,2,10,18
2013-02,4,1,11,16
2013-03,5,2,8,15
2013-04,8,2,10,20
2013-05,8,3,10,21
2013-06,8,2,10,20
2013-07,6,1,10,17
2013-08,5,1,8,14
2013-09,6,1,8,15
2013-10,7,0,8,15
2013-11,7,2,8,17
2013-12,6,3,8,17
2014-01,5,2,8,15
2014-02,10,0,8,18
2014-03,9,1,5,15
2014-04,5,2,6,13
2014-05,8,1,2,11
2014-06,4,1,4,9
2014-07,5,1,9,15
2014-08,6,1,7,14
2014-09,4,0,6,10
2014-10,6,0,8,14
2014-11,8,2,9,19
2014-12,9,2,7,18
2015-01,9,2,8,19
2015-02,6,1,10,17
2015-03,4,0,9,13
2015-04,2,0,6,8
2015-05,3,0,7,10
2015-06,2,0,7,9
2015-07,3,0,5,8
2015-08,3,0,6,9
2015-09,4,1,5,10
2015-10,4,0,5,9
2015-11,4,0,5,9
2015-12,2,0,5,7
2016-01,4,0,5,9
2016-02,2,1,2,5
2016-03,4,1,2,7
2016-04,3,1,2,6
2016-05,3,1,2,6
2016-06,2,0,3,5
2016-07,1,1,3,5
2016-08,2,0,3,5
2016-09,2,1,2,5
2016-10,0,1,3,4
2016-11,0,1,4,5
2016-12,1,1,2,4
2017-01,2,0,2,4
2017-02,4,0,2,6
2017-03,5,1,4,10
2017-04,5,0,4,9
2017-05,4,1,3,8
2017-06,4,0,4,8
2017-07,4,1,4,9
2017-08,4,1,3,8
2017-09,3,1,4,8
2017-10,3,1,5,9
2017-11,6,1,3,10
2017-12,4,1,4,9
2018-01,6,1,5,12
2018-02,8,1,6,15
2018-03,9,0,3,12
2018-04,8,0,4,12
2018-05,7,2,5,14
2018-06,7,1,5,13
2018-07,8,2,6,16
2018-08,7,1,6,14
2018-09,7,1,6,14
2018-10,6,1,7,14
2018-11,4,2,3,9
2018-12,6,2,3,11
2019-01,6,2,5,13
2019-02,6,2,5,13
2019-03,6,2,6,14
2019-04,6,3,5,14
2019-05,7,2,5,14
2019-06,6,3,5,14
2019-07,8,2,5,15
2019-08,9,3,3,15
2019-09,8,3,6,17
2019-10,7,3,8,18
2019-11,8,3,9,20
2019-12,7,2,8,17
2020-01,6,2,6,14
2020-02,10,2,10,22
2020-03,8,2,10,20
2020-04,8,1,7,16
2020-05,6,0,2,8
2020-06,7,0,2,9
2020-07,5,0,1,6
2020-08,7,0,1,8
2020-09,8,0,2,10
2020-10,6,0,1,7
2020-11,7,0,1,8
2020-12,6,0,1,7
2021-01,4,0,2,6
2021-02,4,0,2,6
2021-03,5,0,1,6
2021-04,5,0,0,5
2021-05,6,0,0,6
2021-06,5,0,0,5
2021-07,6,1,0,7
2021-08,7,1,2,10
2021-09,7,1,3,11
2021-10,8,0,1,9
2021-11,7,0,0,7
2021-12,6,0,0,6
2022-01,6,0,0,6
2022-02,7,0,0,7
2022-03,8,0,1,9
2022-04,10,0,1,11
2022-05,9,0,1,10
2022-06,8,1,2,11
2022-07,9,0,2,11
2022-08,8,0,2,10
2022-09,6,0,1,7
2022-10,6,0,2,8
2022-11,7,0,3,10
2022-12,7,1,4,12
2023-01,8,1,4,13
2023-02,8,1,4,13
2023-03,9,1,5,15
2023-04,8,1,3,12
2023-05,9,1,3,13
2023-06,10,1,3,14
2023-07,9,1,4,14
2023-08,11,1,6,18
2023-09,9,1,5,15
2023-10,7,1,5,13
2023-11,8,1,5,14
2023-12,10,1,5,16
2024-01,9,1,5,15
2024-02,10,1,5,16
2024-03,11,1,7,19
2024-04,12,1,6,19
2024-05,11,1,4,16
2024-06,11,1,3,15
2024-07,10,1,3,14
2024-08,11,1,2,14
2024-09,10,1,3,14
2024-10,7,1,3,11
2024-11,7,1,3,11
2024-12,10,0,2,12
2025-01,9,0,3,12
2025-02,6,0,4,10
2025-03,7,0,3,10
2025-04,9,0,2,11
2025-05,9,0,0,9
2025-06,10,0,1,11
2025-07,11,0,2,13
2025-08,12,0,3,15
2025-09,13,0,5,18
2025-10,12,0,4,16
2025-11,13,0,3,16
2025-12,13,0,4,17
2026-01,11,0,4,15
2026-02,11,0,4,15
2026-03,12,0,5,17
2026-04,11,0,1,12
2026-05,15,0,2,17
2026-06,15,0,3,18
2026-07,13,0,5,18
